Latitud,Longitud,Limite
43.391264,-5.801079,50
43.392097,-5.801549,50
43.391929,-5.802772,50
43.391702,-5.803995,50
43.391045,-5.804887,50
43.390301,-5.805754,50
43.389589,-5.806546,50
43.388773,-5.807356,50
43.387925,-5.80777,50
43.387211,-5.808526,50
43.38647,-5.809279,50
43.385562,-5.809665,30
43.386286,-5.810673,50
43.386987,-5.811597,50
43.386529,-5.812764,50
43.386233,-5.814028,50
43.385945,-5.815304,50
43.385701,-5.816532,50
43.385415,-5.817787,50
43.386076,-5.818682,30
43.386282,-5.820018,30
43.385822,-5.821117,30
43.38488,-5.821572,50
43.383988,-5.820939,50
43.383685,-5.819663,50
43.382757,-5.819205,50
43.381739,-5.818988,50
43.380896,-5.819522,50
43.380073,-5.818807,50
43.379347,-5.81795,50
43.378657,-5.818792,50
43.37842,-5.820051,50
43.378431,-5.821291,50
43.377471,-5.821557,50
43.376605,-5.822076,50
43.375798,-5.822731,30
43.375058,-5.823656,30
43.374323,-5.824484,30
43.373445,-5.824914,30
43.373213,-5.826183,30
43.373309,-5.827472,30
43.373441,-5.828706,30
43.373763,-5.830057,50
43.374698,-5.829718,30
43.375488,-5.830547,30
43.375836,-5.831714,30
43.374902,-5.83192,50
43.374072,-5.831206,30
43.373215,-5.831696,50
43.372237,-5.832093,30
43.371313,-5.832499,30
43.370384,-5.832974,30
43.369715,-5.833893,30
43.369672,-5.835176,30
43.37011,-5.836339,30
43.370756,-5.837286,30
43.370614,-5.83858,30
43.370509,-5.83986,30
43.370326,-5.841228,30
43.369979,-5.842397,30
43.369358,-5.843453,30
43.36855,-5.844205,30
43.367797,-5.844975,50
43.367003,-5.845692,50
43.366163,-5.846305,30
43.36522,-5.846315,30
43.364556,-5.847186,30
43.36364,-5.846833,30
43.362821,-5.847587,30
43.362327,-5.848724,30
43.363027,-5.849708,30
43.362976,-5.850975,30
43.362557,-5.852073,30
43.362014,-5.85321,30
43.36152,-5.854287,30
43.361301,-5.855495,30
43.361243,-5.8568,30
43.360963,-5.858006,30
43.360795,-5.8594,50
43.360611,-5.860669,50
43.360465,-5.861938,50
43.360196,-5.863198,50
43.359877,-5.864352,50
43.359477,-5.865541,50
43.359134,-5.866682,50
43.358815,-5.867846,50
43.358404,-5.869024,50
43.35805,-5.870171,50
43.357288,-5.870871,30
43.356918,-5.872026,50
43.356562,-5.873182,30
43.355661,-5.873228,30
43.354768,-5.872662,30
