Latitud,Longitud,Nombre
43.39138768109017,-5.801140275485343,parque principado
43.386667625905886,-5.809118578890227,feve
43.38574358801743,-5.816384265009034,llaviada
43.386324471734845,-5.819999882771146,ignacio herrero 1
43.38463248616602,-5.821483144283495,ignacio herrero 2
43.38256674342976,-5.819190544574958,centro salud
43.379637233172744,-5.818374482424776,plaza enseñanza
43.377506381499146,-5.821493170771747,alvarez mendo
43.375459974311056,-5.82307718237339,huca urgencias
43.37318851818499,-5.8256531557400555,los rosales
43.375205436163505,-5.830179383387032,huca
43.370195674344494,-5.832994361796707,sabino fdez
43.37038461356039,-5.836430386215015,angel cañedo
43.37048878247034,-5.840351266600083,aureliano san roman
43.37008225320871,-5.842165110418014,aureliano san roman palladium
43.3688244768568,-5.844015937001597,pumarin
43.36603161023792,-5.846328445655765,foncalada 1
43.364654933802086,-5.847068425424542,foncalada 2
43.36290539527411,-5.849612070966416,uria sur
43.36236424073428,-5.852472723118162,toreno
43.36096519767595,-5.858086095875224, avenida galicia
43.360054990901645,-5.863683866142119, silla del rey
43.358563518820745,-5.8685384936047225, plaza toros
43.35742470882092,-5.8706977148356545, julian claveria
43.35476754057521, -5.872601730633334, facultades
